,ad,count
219,ad867583393798,52
220,ad1176821039143,52
221,ad472446402628,52
222,ad987842478090,52
223,ad1211180777518,51
224,ad11,51
225,ad85899345924,51
226,ad807453851664,51
227,ad721554505779,51
228,ad472446402590,51
229,ad283467841593,51
230,ad996432412712,51
231,ad515396075523,51
232,ad60129542169,51
233,ad1211180777477,51
234,ad1262720385059,50
235,ad369367187491,50
236,ad721554505764,50
237,ad429496729648,50
238,ad111669149707,50
239,ad704374636583,50
240,ad704374636576,50
241,ad549755813896,50
242,ad1503238553601,50
243,ad1580547964996,50
244,ad704374636553,50
245,ad455266533404,50
246,ad377957122051,50
247,ad807453851669,49
248,ad1649267441680,49
249,ad395136991301,49
250,ad180388626447,49
251,ad1211180777531,49
252,ad661424963627,49
253,ad481036337178,49
254,ad8589934604,49
255,ad515396075527,49
256,ad1039382085657,49
257,ad44,49
258,ad446676598791,49
259,ad910533066755,49
260,ad26,49
261,ad695784701986,49
262,ad1245540515854,49
263,ad773094113290,49
264,ad377957122071,48
265,ad60129542176,48
266,ad1211180777485,48
267,ad893353197608,48
268,ad463856467982,48
269,ad51539607591,48
270,ad446676598792,48
271,ad1709396983841,48
272,ad515396075538,48
273,ad721554505730,48
274,ad283467841559,48
275,ad867583393796,48
276,ad1065151889409,48
277,ad335007449116,48
278,ad1563368095794,48
279,ad51539607579,48
280,ad1056561954872,48
281,ad386547056684,48
282,ad1400159338518,48
283,ad94489280533,47
284,ad962072674331,47
285,ad1219770712108,47
286,ad1503238553613,47
287,ad987842478123,47
288,ad712964571156,47
289,ad970662608940,47
290,ad1176821039106,47
291,ad970662608925,47
292,ad317827579926,47
293,ad824633720889,47
294,ad34359738376,47
295,ad455266533396,47
296,ad68719476744,47
297,ad1090921693204,46
298,ad962072674305,46
299,ad1142461300781,46
300,ad240518168587,46
301,ad1073741824059,46
302,ad214748364816,46
303,ad8589934596,46
304,ad618475290683,46
305,ad137438953481,46
306,ad764504178735,46
307,ad1546188226569,46
308,ad68719476772,46
309,ad1391569403932,46
310,ad17179869229,46
311,ad1675037245444,46
312,ad936302870583,46
313,ad85899345982,46
314,ad1262720385089,46
315,ad472446402592,46
316,ad1065151889425,45
317,ad266287972395,45
318,ad1709396983843,45
319,ad1151051235337,45
320,ad1151051235366,45
321,ad214748364806,45
322,ad403726925841,45
323,ad1211180777493,45
324,ad1632087572488,45
325,ad8589934625,45
326,ad1520418422833,45
327,ad738734374928,45
328,ad1314259992593,45
329,ad1005022347274,45
330,ad1537598292033,45
331,ad1082331758623,44
332,ad472446402608,44
333,ad1030792151082,44
334,ad627065225259,44
335,ad1623497637929,44
336,ad154618822703,44
337,ad1279900254258,44
338,ad352187318310,44
339,ad1443109011475,44
340,ad146028888108,44
341,ad283467841590,44
342,ad1365799600142,44
343,ad1391569403971,44
344,ad1211180777494,44
345,ad481036337166,44
346,ad1520418422792,44
347,ad1056561954841,44
348,ad644245094462,44
349,ad1279900254240,44
350,ad17179869208,44
351,ad798863917063,44
352,ad274877906946,44
353,ad309237645371,44
354,ad816043786307,44
355,ad704374636577,43
356,ad214748364837,43
357,ad1606317768732,43
358,ad335007449120,43
359,ad1563368095788,43
360,ad644245094401,43
361,ad1297080123423,43
362,ad678604832818,43
363,ad858993459227,43
364,ad816043786245,43
365,ad644245094412,43
366,ad652835029011,43
367,ad1013612281896,43
368,ad412316860442,43
369,ad523986010120,43
370,ad575525617711,43
371,ad197568495620,43
372,ad1314259992621,43
373,ad695784701981,43
374,ad1520418422814,43
375,ad661424963629,43
376,ad1030792151077,43
377,ad438086664231,43
378,ad1305670058013,43
379,ad678604832802,43
380,ad1039382085646,43
381,ad1254130450442,43
382,ad755914244121,43
383,ad893353197637,43
384,ad695784701956,42
385,ad171798691862,42
386,ad1563368095795,42
387,ad1529008357382,42
388,ad1546188226621,42
389,ad1546188226581,42
390,ad335007449101,42
391,ad25769803783,42
392,ad1425929142346,42
393,ad1108101562373,42
394,ad335007449104,42
395,ad1692217114634,42
396,ad747324309523,42
397,ad77309411331,42
398,ad1434519076903,42
399,ad1099511627829,42
400,ad137438953482,42
401,ad1202590842939,42
402,ad463856468004,42
403,ad1090921693231,42
404,ad146028888119,42
405,ad274877906961,42
406,ad1666447310851,42
407,ad317827579964,42
408,ad1202590842893,41
409,ad1288490188821,41
410,ad489626271815,41
411,ad670014898205,41
412,ad206158430211,41
413,ad266287972367,41
414,ad463856467975,41
415,ad996432412723,41
416,ad1417339207689,41
417,ad1614907703336,41
418,ad730144440356,41
419,ad1700807049265,41
420,ad103079215163,41
421,ad1511828488224,41
422,ad1185410973725,41
423,ad455266533385,41
424,ad481036337158,41
425,ad1640677507124,41
426,ad1047972020225,41
427,ad1056561954873,41
428,ad1151051235347,41
429,ad1546188226614,41
430,ad1503238553602,40
431,ad1632087572526,40
432,ad1279900254239,40
433,ad1434519076923,40
434,ad712964571136,40
435,ad438086664197,40
436,ad721554505770,40
437,ad1434519076925,40
438,ad292057776137,40
439,ad695784701962,40
440,ad979252543561,40
441,ad403726925884,40
442,ad1228360646662,40
443,ad1047972020242,40
444,ad1606317768738,40
445,ad1640677507105,40
446,ad566935683076,40
447,ad455266533392,39
448,ad1666447310876,39
449,ad1151051235363,39
450,ad352187318284,39
451,ad85899345921,39
452,ad1391569403926,39
453,ad163208757290,39
454,ad1202590842925,39
455,ad1675037245453,39
456,ad1271310319652,39
457,ad738734374956,39
458,ad1322849927171,39
459,ad1228360646714,39
460,ad1408749273138,39
461,ad1683627180081,39
462,ad1322849927216,39
463,ad566935683087,39
464,ad1529008357421,39
465,ad1417339207691,39
466,ad721554505749,39
467,ad266287972403,39
468,ad1331439861808,39
469,ad1125281431603,39
470,ad850403524616,39
471,ad335007449121,39
472,ad601295421449,39
473,ad876173328425,39
474,ad326417514497,39
475,ad420906795020,39
476,ad927712935962,39
477,ad764504178726,39
478,ad1460288880652,39
479,ad1640677507100,39
480,ad867583393815,39
481,ad146028888130,39
482,ad1254130450469,39
483,ad1005022347284,39
484,ad755914244136,39
485,ad77309411330,39
486,ad446676598819,38
487,ad1185410973709,38
488,ad38,38
489,ad1116691496996,38
490,ad481036337192,38
491,ad644245094440,38
492,ad60129542192,38
493,ad249108103179,38
494,ad652835028996,38
495,ad584115552267,38
496,ad695784701957,38
497,ad867583393842,38
498,ad111669149718,38
499,ad532575944742,38
500,ad120259084318,38
501,ad1133871366168,38
502,ad231928234020,38
503,ad747324309505,38
504,ad1082331758638,38
505,ad1468878815264,38
506,ad1486058684462,38
507,ad1675037245445,38
508,ad489626271775,38
509,ad1185410973718,38
510,ad996432412710,38
511,ad1185410973705,38
512,ad343597383695,38
513,ad120259084352,38
514,ad1417339207701,38
515,ad773094113287,38
516,ad163208757270,38
517,ad1305670057998,37
518,ad377957122090,37
519,ad1125281431593,37
520,ad300647710726,37
521,ad884763262991,37
522,ad429496729600,37
523,ad111669149708,37
524,ad824633720840,37
525,ad841813590076,37
526,ad936302870571,37
527,ad670014898181,37
528,ad180388626497,37
529,ad858993459252,37
530,ad506806140946,37
531,ad317827579941,37
532,ad1202590842901,37
533,ad1099511627778,37
534,ad1305670057992,37
535,ad146028888080,37
536,ad919123001365,37
537,ad1503238553627,37
538,ad687194767412,37
539,ad1589137899520,37
540,ad481036337175,37
541,ad1297080123396,37
542,ad609885356051,37
543,ad1314259992608,37
544,ad1159641169959,37
545,ad1460288880673,37
546,ad910533066828,37
547,ad1262720385090,37
548,ad1529008357410,37
549,ad850403524663,37
550,ad1520418422805,37
551,ad1159641169949,36
552,ad25769803781,36
553,ad146028888104,36
554,ad987842478135,36
555,ad695784701961,36
556,ad206158430208,36
557,ad180388626444,36
558,ad936302870535,36
559,ad8589934655,36
560,ad455266533379,36
561,ad790273982477,36
562,ad816043786301,36
563,ad1194000908331,36
564,ad747324309543,36
565,ad403726925831,36
566,ad850403524662,36
567,ad214748364804,36
568,ad1056561954820,36
569,ad1030792151063,36
570,ad1649267441714,36
571,ad1314259992623,36
572,ad249108103221,36
573,ad1219770712114,36
574,ad1391569403966,36
575,ad1537598291971,36
576,ad549755813922,36
577,ad163208757292,36
578,ad558345748539,36
579,ad103079215158,36
580,ad962072674370,36
581,ad1331439861770,36
582,ad1194000908292,36
583,ad867583393853,35
584,ad523986010179,35
585,ad352187318311,35
586,ad506806140987,35
587,ad352187318274,35
588,ad1133871366177,35
589,ad575525617683,35
590,ad704374636604,35
591,ad644245094467,35
592,ad1365799600135,35
593,ad1047972020244,35
594,ad1108101562369,35
595,ad206158430233,35
596,ad566935683083,35
597,ad1632087572497,35
598,ad300647710732,35
599,ad1348619730952,35
600,ad1666447310902,35
601,ad738734374967,35
602,ad292057776165,35
603,ad532575944750,35
604,ad1606317768751,35
605,ad1580547964999,35
606,ad523986010151,35
607,ad249108103185,35
608,ad592705486881,35
609,ad128849018881,35
610,ad618475290639,35
611,ad721554505778,35
612,ad472446402617,35
613,ad103079215110,35
614,ad549755813928,35
615,ad8589934638,35
616,ad1391569403906,35
617,ad429496729611,35
618,ad558345748510,34
619,ad1408749273136,34
620,ad1116691496992,34
621,ad274877906994,34
622,ad77309411334,34
623,ad60129542201,34
624,ad1408749273131,34
625,ad1322849927220,34
626,ad506806140942,34
627,ad747324309553,34
628,ad1683627180056,34
629,ad1391569403970,34
630,ad60129542165,34
631,ad730144440326,34
632,ad755914244143,34
633,ad592705486882,34
634,ad841813590052,34
635,ad1580547964952,34
636,ad558345748534,34
637,ad764504178697,34
638,ad652835029024,34
639,ad584115552270,34
640,ad1056561954844,34
641,ad1520418422793,34
642,ad1417339207692,34
643,ad1168231104559,34
644,ad1125281431571,34
645,ad1365799600186,34
646,ad1065151889414,34
647,ad481036337179,34
648,ad1271310319676,34
649,ad1348619730963,34
650,ad68719476798,34
651,ad721554505758,34
652,ad120259084297,34
653,ad781684047896,34
654,ad1202590842929,34
655,ad481036337190,34
656,ad352187318325,34
657,ad240518168633,34
658,ad1305670058009,34
659,ad1589137899550,34
660,ad730144440361,34
661,ad498216206352,33
662,ad1477468749839,33
663,ad1116691496990,33
664,ad1125281431586,33
665,ad300647710739,33
666,ad1623497637944,33
667,ad1005022347268,33
668,ad1529008357414,33
669,ad1571958030371,33
670,ad1099511627815,33
671,ad841813590038,33
672,ad128849018886,33
673,ad120259084303,33
674,ad850403524660,33
675,ad1709396983855,33
676,ad816043786272,33
677,ad867583393795,33
678,ad231928234012,33
679,ad1082331758656,33
680,ad884763263037,33
681,ad1185410973719,33
682,ad180388626479,33
683,ad1013612281858,33
684,ad1159641169924,33
685,ad670014898227,33
686,ad103079215128,33
687,ad558345748542,33
688,ad893353197583,33
689,ad1254130450497,33
690,ad1597727834150,33
691,ad644245094458,33
692,ad1632087572506,33
693,ad206158430266,33
694,ad1417339207724,33
695,ad386547056674,33
696,ad51539607555,33
697,ad58,33
698,ad1486058684461,33
699,ad936302870539,33
700,ad566935683112,32
701,ad111669149711,32
702,ad549755813930,32
703,ad1116691496970,32
704,ad68719476781,32
705,ad120259084308,32
706,ad412316860431,32
707,ad687194767409,32
708,ad1683627180073,32
709,ad481036337162,32
710,ad566935683103,32
711,ad249108103201,32
712,ad661424963603,32
713,ad1623497637910,32
714,ad1288490188845,32
715,ad360777252923,32
716,ad1262720385027,32
717,ad919123001354,32
718,ad566935683088,32
719,ad1202590842900,32
720,ad197568495633,32
721,ad1305670058049,32
722,ad146028888100,32
723,ad1194000908328,32
724,ad309237645318,32
725,ad1657857376296,32
726,ad1254130450495,32
727,ad240518168614,32
728,ad257698037777,32
729,ad1554778161154,32
730,ad652835029033,32
731,ad1099511627787,32
732,ad901943132190,32
733,ad850403524622,32
734,ad1657857376316,32
735,ad1649267441682,32
736,ad1022202216487,32
737,ad103079215136,32
738,ad223338299455,32
739,ad987842478100,32
740,ad1271310319637,32
741,ad901943132210,32
742,ad1486058684446,31
743,ad1580547964981,31
744,ad858993459237,31
745,ad1297080123443,31
746,ad1537598292034,31
747,ad601295421495,31
748,ad231928234033,31
749,ad1623497637902,31
750,ad171798691841,31
751,ad721554505782,31
752,ad317827579915,31
753,ad274877906953,31
754,ad1125281431575,31
755,ad1099511627808,31
756,ad1546188226577,31
757,ad876173328435,31
758,ad1434519076894,31
759,ad1202590842892,31
760,ad523986010116,31
761,ad1073741824016,31
762,ad386547056673,31
763,ad1443109011461,31
764,ad910533066787,31
765,ad1271310319664,31
766,ad661424963640,31
767,ad343597383724,31
768,ad1082331758644,31
769,ad704374636547,31
770,ad927712936001,31
771,ad498216206355,31
772,ad704374636562,31
773,ad738734374966,31
774,ad1211180777542,31
775,ad1640677507083,31
776,ad1571958030369,31
777,ad1666447310901,31
778,ad1090921693210,31
779,ad1202590842880,31
780,ad463856467972,31
781,ad1022202216479,31
782,ad678604832778,31
783,ad1606317768756,31
784,ad1537598292020,31
785,ad1597727834151,31
786,ad420906795042,31
787,ad850403524621,31
788,ad120259084338,31
789,ad343597383698,31
790,ad1228360646671,31
791,ad824633720884,31
792,ad292057776175,31
793,ad377957122073,31
794,ad1125281431572,31
795,ad1657857376270,31
796,ad661424963638,31
797,ad1331439861791,31
798,ad790273982469,31
799,ad420906795013,30
800,ad1563368095750,30
801,ad489626271757,30
802,ad1288490188833,30
803,ad1434519076906,30
804,ad584115552314,30
805,ad987842478145,30
806,ad575525617672,30
807,ad283467841546,30
808,ad970662608964,30
809,ad197568495667,30
810,ad412316860451,30
811,ad25769803828,30
812,ad884763262985,30
813,ad635655159815,30
814,ad1322849927168,30
815,ad1580547964938,30
816,ad1116691496986,30
817,ad188978561028,30
818,ad876173328410,30
819,ad1297080123436,30
820,ad1305670058030,30
821,ad1236950581276,30
822,ad1408749273125,30
823,ad1374389534727,30
824,ad618475290672,30
825,ad1649267441717,30
826,ad420906795064,30
827,ad575525617684,30
828,ad317827579904,30
829,ad1606317768766,30
830,ad498216206396,30
831,ad438086664222,30
832,ad1400159338531,30
833,ad1005022347317,30
834,ad1606317768708,30
835,ad1640677507102,30
836,ad1065151889411,30
837,ad1589137899534,30
838,ad609885356046,30
839,ad1709396983835,30
840,ad618475290685,30
841,ad1022202216501,30
842,ad1297080123407,30
843,ad1082331758620,30
844,ad146028888084,30
845,ad1030792151064,30
846,ad1709396983837,30
847,ad558345748483,30
848,ad1357209665537,30
849,ad1554778161165,30
850,ad1065151889463,30
851,ad1279900254238,30
852,ad824633720845,30
853,ad231928234046,30
854,ad360777252914,30
855,ad532575944731,30
856,ad1142461300777,30
857,ad15,30
858,ad249108103182,30
859,ad343597383700,30
860,ad34359738403,30
861,ad360777252902,29
862,ad1425929142299,29
863,ad1005022347282,29
864,ad1108101562394,29
865,ad1692217114676,29
866,ad1279900254232,29
867,ad360777252897,29
868,ad1030792151049,29
869,ad1649267441707,29
870,ad274877906995,29
871,ad901943132167,29
872,ad120259084330,29
873,ad60129542195,29
874,ad317827579956,29
875,ad1529008357384,29
876,ad180388626500,29
877,ad1511828488251,29
878,ad45,29
879,ad1511828488242,29
880,ad438086664223,29
881,ad1649267441699,29
882,ad1640677507113,29
883,ad1211180777523,29
884,ad1331439861811,29
885,ad1090921693192,29
886,ad292057776191,29
887,ad1657857376282,29
888,ad1159641169945,29
889,ad1425929142296,29
890,ad618475290684,29
891,ad335007449108,29
892,ad1520418422823,29
893,ad1331439861761,29
894,ad8589934659,29
895,ad712964571155,29
896,ad1503238553618,29
897,ad1116691497010,29
898,ad927712935952,29
899,ad214748364826,29
900,ad1563368095796,29
901,ad816043786251,29
902,ad1563368095772,29
903,ad412316860427,29
904,ad455266533435,29
905,ad1211180777508,29
906,ad773094113303,29
907,ad111669149705,29
908,ad326417514507,29
909,ad446676598826,29
910,ad438086664216,29
911,ad712964571147,29
912,ad850403524628,29
913,ad670014898218,29
914,ad1340029796360,29
915,ad30,29
916,ad609885356060,29
917,ad1520418422795,29
918,ad1425929142311,29
919,ad755914244113,29
920,ad936302870540,29
921,ad1013612281899,29
922,ad1185410973720,29
923,ad807453851652,29
924,ad163208757273,29
925,ad146028888093,29
926,ad360777252912,29
927,ad403726925854,29
928,ad1065151889416,29
929,ad566935683098,29
930,ad687194767386,29
931,ad274877906988,29
932,ad1520418422827,29
933,ad1116691496974,29
934,ad1382979469347,29
935,ad1228360646707,29
936,ad498216206376,28
937,ad223338299412,28
938,ad1340029796393,28
939,ad240518168579,28
940,ad240518168604,28
941,ad146028888065,28
942,ad1151051235340,28
943,ad1254130450434,28
944,ad781684047882,28
945,ad1194000908293,28
946,ad816043786317,28
947,ad283467841564,28
948,ad68719476792,28
949,ad927712935958,28
950,ad944892805132,28
951,ad1211180777496,28
952,ad438086664236,28
953,ad566935683089,28
954,ad635655159862,28
955,ad1614907703301,28
956,ad962072674350,28
957,ad377957122111,28
958,ad77309411349,28
959,ad541165879317,28
960,ad1425929142318,28
961,ad223338299438,28
962,ad188978561046,28
963,ad1623497637917,28
964,ad841813590039,28
965,ad1099511627780,28
966,ad85899345968,28
967,ad274877906965,28
968,ad541165879330,28
969,ad1245540515866,28
970,ad77309411368,28
971,ad1082331758629,28
972,ad575525617681,28
973,ad1047972020247,28
974,ad1133871366180,28
975,ad970662608901,28
976,ad858993459247,28
977,ad1357209665597,28
978,ad712964571178,28
979,ad68719476806,28
980,ad8589934643,28
981,ad1176821039112,28
982,ad146028888082,28
983,ad455266533399,28
984,ad1279900254255,28
985,ad257698037786,28
986,ad1090921693187,28
987,ad1614907703299,28
988,ad1494648619025,28
989,ad1047972020288,28
990,ad1348619730996,28
991,ad386547056691,28
992,ad1297080123404,28
993,ad206158430220,28
994,ad446676598833,28
995,ad420906795056,28
996,ad369367187506,28
997,ad747324309529,28
998,ad712964571175,28
999,ad1262720385087,28
1000,ad1090921693229,28
1001,ad1537598292010,28
1002,ad463856468005,28
1003,ad523986010183,28
1004,ad360777252911,28
1005,ad1400159338559,28
1006,ad343597383718,28
1007,ad8589934624,28
1008,ad111669149721,28
1009,ad936302870553,28
1010,ad369367187507,28
1011,ad962072674313,28
1012,ad1614907703341,28
1013,ad498216206346,28
1014,ad575525617706,28
1015,ad34359738428,28
1016,ad652835029002,28
1017,ad1580547964972,28
1018,ad188978561087,28
1019,ad1125281431558,28
1020,ad944892805133,28
1021,ad601295421472,27
1022,ad824633720859,27
1023,ad644245094414,27
1024,ad171798691849,27
1025,ad695784701954,27
1026,ad678604832775,27
1027,ad824633720883,27
1028,ad910533066768,27
1029,ad377957122082,27
1030,ad231928234036,27
1031,ad1262720385063,27
1032,ad1675037245448,27
1033,ad1159641169937,27
1034,ad523986010130,27
1035,ad1460288880649,27
1036,ad824633720870,27
1037,ad1417339207723,27
1038,ad575525617698,27
1039,ad206158430230,27
1040,ad1047972020274,27
1041,ad1176821039161,27
1042,ad609885356062,27
1043,ad635655159858,27
1044,ad523986010149,27
1045,ad644245094442,27
1046,ad51539607596,27
1047,ad171798691898,27
1048,ad1322849927188,27
1049,ad51539607599,27
1050,ad1460288880675,27
1051,ad618475290686,27
1052,ad103079215142,27
1053,ad377957122085,27
1054,ad154618822662,27
1055,ad412316860436,27
1056,ad695784701963,27
1057,ad1623497637928,27
1058,ad1571958030382,27
1059,ad317827579958,27
1060,ad360777252887,27
1061,ad695784701967,27
1062,ad738734374913,27
1063,ad1451698946052,27
1064,ad335007449105,27
1065,ad910533066802,27
1066,ad197568495640,27
1067,ad455266533407,27
1068,ad592705486873,27
1069,ad266287972363,27
1070,ad188978561035,27
1071,ad901943132206,27
1072,ad1211180777506,27
1073,ad1340029796353,27
1074,ad1271310319661,27
1075,ad1382979469351,27
1076,ad1305670058001,27
1077,ad944892805184,27
1078,ad833223655443,27
1079,ad1236950581268,27
1080,ad438086664225,27
1081,ad919123001362,27
1082,ad1185410973753,27
1083,ad1546188226585,27
1084,ad721554505729,27
1085,ad1047972020254,27
1086,ad223338299453,27
1087,ad781684047888,27
1088,ad575525617716,27
1089,ad369367187514,27
1090,ad1125281431591,27
1091,ad944892805149,27
1092,ad1554778161210,27
1093,ad309237645313,27
1094,ad884763262989,27
1095,ad68719476756,26
1096,ad1322849927209,26
1097,ad1709396983862,26
1098,ad747324309508,26
1099,ad1657857376259,26
1100,ad395136991294,26
1101,ad249108103184,26
1102,ad773094113317,26
1103,ad1254130450459,26
1104,ad283467841557,26
1105,ad541165879314,26
1106,ad403726925888,26
1107,ad807453851674,26
1108,ad103079215143,26
1109,ad1005022347297,26
1110,ad704374636549,26
1111,ad687194767394,26
1112,ad1606317768729,26
1113,ad29,26
1114,ad558345748507,26
1115,ad781684047903,26
1116,ad1657857376304,26
1117,ad936302870552,26
1118,ad807453851679,26
1119,ad1434519076883,26
1120,ad1589137899524,26
1121,ad1692217114657,26
1122,ad601295421513,26
1123,ad1434519076921,26
1124,ad747324309540,26
1125,ad85899345975,26
1126,ad25769803779,26
1127,ad197568495643,26
1128,ad1391569403909,26
1129,ad335007449125,26
1130,ad1056561954825,26
1131,ad996432412703,26
1132,ad652835029025,26
1133,ad1348619730988,26
1134,ad197568495655,26
1135,ad1675037245459,26
1136,ad1228360646663,26
1137,ad1288490188848,26
1138,ad223338299421,26
1139,ad1142461300773,26
1140,ad1546188226606,26
1141,ad841813590062,26
1142,ad919123001360,26
1143,ad1683627180067,26
1144,ad876173328416,26
1145,ad335007449112,26
1146,ad360777252930,26
1147,ad876173328420,26
1148,ad1683627180092,26
1149,ad1529008357418,26
1150,ad1623497637946,26
1151,ad1322849927185,26
1152,ad841813590064,26
1153,ad730144440323,26
1154,ad1357209665598,26
1155,ad300647710747,26
1156,ad901943132192,26
1157,ad738734374975,26
1158,ad1176821039148,26
1159,ad343597383719,26
1160,ad601295421443,26
1161,ad94489280525,26
1162,ad128849018917,26
1163,ad1030792151053,26
1164,ad429496729622,26
1165,ad1314259992640,26
1166,ad592705486877,26
1167,ad85899345969,26
1168,ad1357209665551,25
1169,ad1486058684450,25
1170,ad592705486866,25
1171,ad541165879325,25
1172,ad1039382085635,25
1173,ad730144440374,25
1174,ad541165879312,25
1175,ad1039382085674,25
1176,ad1159641169948,25
1177,ad1133871366162,25
1178,ad781684047900,25
1179,ad77309411333,25
1180,ad790273982502,25
1181,ad300647710736,25
1182,ad1262720385032,25
1183,ad335007449148,25
1184,ad1357209665572,25
1185,ad438086664248,25
1186,ad1142461300742,25
1187,ad1640677507098,25
1188,ad326417514521,25
1189,ad558345748514,25
1190,ad592705486905,25
1191,ad1022202216477,25
1192,ad1486058684470,25
1193,ad1606317768711,25
1194,ad764504178698,25
1195,ad214748364823,25
1196,ad532575944720,25
1197,ad25769803791,25
1198,ad1468878815265,25
1199,ad1692217114653,25
1200,ad1082331758607,25
1201,ad944892805169,25
1202,ad8589934634,25
1203,ad249108103203,25
1204,ad403726925850,25
1205,ad644245094453,25
1206,ad1116691497004,25
1207,ad420906795058,25
1208,ad1434519076897,25
1209,ad1331439861764,25
1210,ad876173328437,25
